num,fecha,n1,n2,n3,n4,n5,n6,tipo,fechaDisplay
1,2026-05-13,0,15,26,36,37,40,SALE,13 may 2026
2,2026-05-13,5,17,18,27,32,38,REV,13 may 2026
3,2026-05-10,3,4,6,21,40,43,SALE,10 may 2026
4,2026-05-10,1,8,15,21,24,44,REV,10 may 2026
5,2026-05-06,0,5,7,20,30,40,SALE,06 may 2026
6,2026-05-06,3,25,30,33,34,35,REV,06 may 2026
7,2026-05-03,0,12,22,28,41,44,SALE,03 may 2026
8,2026-05-03,5,7,19,28,29,32,REV,03 may 2026
9,2026-04-29,3,6,15,19,38,45,SALE,29 abr 2026
10,2026-04-29,1,8,16,25,33,43,REV,29 abr 2026
11,2026-04-26,11,14,20,34,38,40,SALE,26 abr 2026
12,2026-04-26,2,9,32,40,41,42,REV,26 abr 2026
13,2026-04-22,7,13,20,23,35,41,SALE,22 abr 2026
14,2026-04-22,10,12,17,27,41,44,REV,22 abr 2026
15,2026-04-19,7,11,12,26,30,36,SALE,19 abr 2026
16,2026-04-19,2,7,16,29,38,45,REV,19 abr 2026
17,2026-04-15,0,10,19,42,43,44,SALE,15 abr 2026
18,2026-04-15,26,27,30,35,37,38,REV,15 abr 2026
19,2026-04-12,5,8,14,22,26,36,SALE,12 abr 2026
20,2026-04-12,13,19,22,25,40,41,REV,12 abr 2026
21,2026-04-08,0,8,12,23,32,36,SALE,08 abr 2026
22,2026-04-08,12,18,24,31,36,40,REV,08 abr 2026
23,2026-04-05,6,7,8,12,35,41,SALE,05 abr 2026
24,2026-04-05,6,13,17,29,33,36,REV,05 abr 2026
25,2026-04-01,3,10,12,19,32,36,SALE,01 abr 2026
26,2026-04-01,3,16,35,39,44,45,REV,01 abr 2026
27,2026-03-29,1,16,24,36,42,45,SALE,29 mar 2026
28,2026-03-29,6,8,15,24,36,42,REV,29 mar 2026
29,2026-03-25,3,10,18,27,33,39,SALE,25 mar 2026
30,2026-03-25,12,27,28,29,36,42,REV,25 mar 2026
31,2026-03-22,12,24,25,28,40,44,SALE,22 mar 2026
32,2026-03-22,5,12,33,36,41,43,REV,22 mar 2026
33,2026-03-18,11,13,17,23,28,35,SALE,18 mar 2026
34,2026-03-18,12,13,14,29,41,42,REV,18 mar 2026
35,2026-03-15,4,14,16,26,33,36,SALE,15 mar 2026
36,2026-03-15,0,35,39,41,42,45,REV,15 mar 2026
37,2026-03-11,9,10,21,35,43,44,SALE,11 mar 2026
38,2026-03-11,3,9,16,19,21,40,REV,11 mar 2026
39,2026-03-08,14,16,19,25,28,36,SALE,08 mar 2026
40,2026-03-08,5,27,29,33,37,43,REV,08 mar 2026
41,2026-03-04,1,5,14,17,31,38,SALE,04 mar 2026
42,2026-03-04,6,11,26,29,34,35,REV,04 mar 2026
43,2026-03-01,13,14,25,30,33,44,SALE,01 mar 2026
44,2026-03-01,7,9,32,41,42,43,REV,01 mar 2026
45,2026-02-25,6,20,22,27,40,41,SALE,25 feb 2026
46,2026-02-25,3,5,14,18,20,24,REV,25 feb 2026
47,2026-02-22,5,9,16,18,25,35,SALE,22 feb 2026
48,2026-02-22,11,16,28,36,40,41,REV,22 feb 2026
49,2026-02-18,2,9,10,14,28,38,SALE,18 feb 2026
50,2026-02-18,5,8,17,31,37,45,REV,18 feb 2026
51,2026-02-15,4,7,12,22,26,39,SALE,15 feb 2026
52,2026-02-15,7,11,13,14,36,37,REV,15 feb 2026
53,2026-02-11,8,20,23,27,28,45,SALE,11 feb 2026
54,2026-02-11,3,8,13,34,35,43,REV,11 feb 2026
55,2026-02-08,4,7,23,32,37,38,SALE,08 feb 2026
56,2026-02-08,4,17,20,21,37,39,REV,08 feb 2026
57,2026-02-04,22,26,28,31,33,34,SALE,04 feb 2026
58,2026-02-04,7,19,31,34,39,44,REV,04 feb 2026
59,2026-02-01,9,30,31,42,43,45,SALE,01 feb 2026
60,2026-02-01,3,19,20,21,30,39,REV,01 feb 2026
61,2026-01-28,21,28,40,41,44,45,SALE,28 ene 2026
62,2026-01-28,6,17,26,32,34,41,REV,28 ene 2026
63,2026-01-25,10,12,13,18,38,40,SALE,25 ene 2026
64,2026-01-25,7,10,21,33,34,45,REV,25 ene 2026
65,2026-01-21,6,8,27,31,33,40,SALE,21 ene 2026
66,2026-01-21,0,33,35,37,38,43,REV,21 ene 2026
67,2026-01-18,4,5,9,13,20,29,SALE,18 ene 2026
68,2026-01-18,21,23,24,27,37,43,REV,18 ene 2026
69,2026-01-14,7,19,26,33,36,41,SALE,14 ene 2026
70,2026-01-14,2,3,18,22,25,36,REV,14 ene 2026
71,2026-01-11,4,6,7,17,19,35,SALE,11 ene 2026
72,2026-01-11,13,27,31,33,35,42,REV,11 ene 2026
73,2026-01-07,7,12,19,30,33,36,SALE,07 ene 2026
74,2026-01-07,5,13,16,32,35,39,REV,07 ene 2026
75,2026-01-04,6,19,23,24,31,45,SALE,04 ene 2026
76,2026-01-04,7,8,15,30,33,45,REV,04 ene 2026
77,2025-12-31,1,15,21,28,36,39,SALE,31 dic 2025
78,2025-12-31,8,12,21,31,36,40,REV,31 dic 2025
79,2025-12-28,7,13,15,25,35,41,SALE,28 dic 2025
80,2025-12-28,16,24,25,28,34,38,REV,28 dic 2025
81,2025-12-24,6,13,24,30,31,43,SALE,24 dic 2025
82,2025-12-24,8,15,31,34,35,42,REV,24 dic 2025
83,2025-12-21,6,17,19,22,29,41,SALE,21 dic 2025
84,2025-12-21,10,17,26,27,32,40,REV,21 dic 2025
85,2025-12-17,8,14,31,32,35,39,SALE,17 dic 2025
86,2025-12-17,3,19,20,25,29,38,REV,17 dic 2025
87,2025-12-14,2,13,31,32,40,43,SALE,14 dic 2025
88,2025-12-14,4,6,16,22,34,36,REV,14 dic 2025
89,2025-12-10,5,7,11,36,41,43,SALE,10 dic 2025
90,2025-12-10,1,4,10,24,35,40,REV,10 dic 2025
91,2025-12-07,5,14,17,29,33,43,SALE,07 dic 2025
92,2025-12-07,5,15,25,33,40,45,REV,07 dic 2025
93,2025-12-03,1,7,27,31,36,42,SALE,03 dic 2025
94,2025-12-03,3,15,21,22,30,32,REV,03 dic 2025
95,2025-11-30,13,22,36,39,40,44,SALE,30 nov 2025
96,2025-11-30,2,3,13,16,19,28,REV,30 nov 2025
97,2025-11-26,11,16,18,27,34,45,SALE,26 nov 2025
98,2025-11-26,20,25,34,36,40,41,REV,26 nov 2025
99,2025-11-23,4,6,30,36,40,41,SALE,23 nov 2025
100,2025-11-23,0,2,6,17,27,40,REV,23 nov 2025
101,2025-11-19,22,25,38,40,41,43,SALE,19 nov 2025
102,2025-11-19,4,5,10,32,35,39,REV,19 nov 2025
103,2025-11-16,5,19,20,24,26,43,SALE,16 nov 2025
104,2025-11-16,2,7,10,20,22,26,REV,16 nov 2025
105,2025-11-12,0,12,13,16,22,32,SALE,12 nov 2025
106,2025-11-12,19,28,32,34,37,41,REV,12 nov 2025
107,2025-11-09,5,17,18,21,22,26,SALE,09 nov 2025
108,2025-11-09,1,3,4,15,25,31,REV,09 nov 2025
109,2025-11-05,14,18,30,35,41,45,SALE,05 nov 2025
110,2025-11-05,1,12,24,31,32,38,REV,05 nov 2025
111,2025-11-02,20,22,31,34,38,40,SALE,02 nov 2025
112,2025-11-02,11,12,25,26,28,45,REV,02 nov 2025
113,2025-10-29,0,3,29,32,35,39,SALE,29 oct 2025
114,2025-10-29,8,11,17,22,37,39,REV,29 oct 2025
115,2025-10-26,5,14,20,24,32,34,SALE,26 oct 2025
116,2025-10-26,25,34,40,42,43,45,REV,26 oct 2025
117,2025-10-22,6,7,25,30,31,44,SALE,22 oct 2025
118,2025-10-22,3,14,15,20,38,40,REV,22 oct 2025
119,2025-10-19,6,21,26,33,41,44,SALE,19 oct 2025
120,2025-10-19,3,15,22,29,36,39,REV,19 oct 2025
121,2025-10-15,15,16,29,30,36,39,SALE,15 oct 2025
122,2025-10-15,0,2,3,17,21,22,REV,15 oct 2025
123,2025-10-12,0,12,18,28,29,43,SALE,12 oct 2025
124,2025-10-12,1,2,9,12,34,37,REV,12 oct 2025
125,2025-10-08,15,21,27,37,42,45,SALE,08 oct 2025
126,2025-10-08,16,21,24,25,34,45,REV,08 oct 2025
127,2025-10-05,6,13,20,25,44,45,SALE,05 oct 2025
128,2025-10-05,3,15,19,21,22,43,REV,05 oct 2025
129,2025-10-01,1,3,8,18,20,27,SALE,01 oct 2025
130,2025-10-01,17,20,22,25,29,31,REV,01 oct 2025
131,2025-09-28,4,10,12,13,18,33,SALE,28 sep 2025
132,2025-09-28,2,7,15,18,22,27,REV,28 sep 2025
133,2025-09-24,3,6,17,21,24,31,SALE,24 sep 2025
134,2025-09-24,0,3,23,30,32,35,REV,24 sep 2025
135,2025-09-07,3,4,20,27,31,41,SALE,07 sep 2025
136,2025-09-07,0,9,11,38,40,42,REV,07 sep 2025
137,2025-09-03,13,29,35,36,37,43,SALE,03 sep 2025
138,2025-09-03,0,1,30,35,39,42,REV,03 sep 2025
139,2025-08-31,1,3,20,28,29,40,SALE,31 ago 2025
140,2025-08-31,8,9,14,18,31,34,REV,31 ago 2025
141,2025-08-27,2,5,6,7,16,33,SALE,27 ago 2025
142,2025-08-27,23,24,32,33,44,45,REV,27 ago 2025
143,2025-08-24,26,30,33,35,40,44,SALE,24 ago 2025
144,2025-08-24,14,15,20,26,41,44,REV,24 ago 2025
145,2025-08-20,27,30,33,34,42,44,SALE,20 aug 2025
146,2025-08-20,10,16,23,34,38,44,REV,20 aug 2025
147,2025-08-17,5,10,11,17,24,34,SALE,17 aug 2025
148,2025-08-17,4,12,17,22,40,44,REV,17 aug 2025
149,2025-08-13,8,9,12,17,35,36,SALE,13 aug 2025
150,2025-08-13,3,11,12,29,39,40,REV,13 aug 2025
151,2025-08-10,7,9,13,23,32,35,SALE,10 aug 2025
152,2025-08-10,8,17,24,31,43,44,REV,10 aug 2025
153,2025-08-06,4,11,27,32,41,45,SALE,06 aug 2025
154,2025-08-06,16,24,33,34,40,44,REV,06 aug 2025
155,2025-08-03,10,15,23,26,39,44,SALE,03 aug 2025
156,2025-08-03,5,26,31,34,41,44,REV,03 aug 2025
157,2025-07-30,1,7,8,17,27,28,SALE,30 jul 2025
158,2025-07-30,0,31,34,35,38,40,REV,30 jul 2025
159,2025-07-27,4,6,12,21,24,28,SALE,27 jul 2025
160,2025-07-27,9,11,13,25,35,36,REV,27 jul 2025
161,2025-07-23,9,12,13,15,20,21,SALE,23 jul 2025
162,2025-07-23,9,16,20,21,23,44,REV,23 jul 2025
163,2025-07-20,10,14,26,34,38,45,SALE,20 jul 2025
164,2025-07-20,19,22,25,31,35,38,REV,20 jul 2025
165,2025-07-16,19,31,33,38,43,44,SALE,16 jul 2025
166,2025-07-16,8,9,10,13,24,31,REV,16 jul 2025
167,2025-07-13,2,10,13,14,29,40,SALE,13 jul 2025
168,2025-07-13,3,8,15,18,28,42,REV,13 jul 2025
169,2025-07-09,11,21,23,32,36,43,SALE,09 jul 2025
170,2025-07-09,13,14,20,23,26,34,REV,09 jul 2025
171,2025-07-06,1,4,10,29,31,43,SALE,06 jul 2025
172,2025-07-06,3,21,33,35,41,42,REV,06 jul 2025
173,2025-07-02,0,4,7,9,16,26,SALE,02 jul 2025
174,2025-07-02,1,4,18,19,31,36,REV,02 jul 2025
